call_id,account_id,event_at,agent_id,campaign_id,direction,vendor_id,call_status,duration_sec,reported_timezone,timezone_unreliable_flag
CALL0000068,ACC0009096,2026-05-30 09:33:56,AGT0000022,CMP0000056,OUTBOUND,VND0000011,ANSWERED,76,Asia/Kolkata,true
CALL0000069,ACC0026901,2026-06-25 12:47:19,AGT0000209,CMP0000092,OUTBOUND,VND0000002,VOICEMAIL,590,UTC,true
CALL0000070,ACC0013337,2026-04-07 17:35:41,AGT0000730,CMP0000061,OUTBOUND,VND0000006,VOICEMAIL,304,UTC,true
CALL0000071,ACC0027600,2026-06-19 15:06:39,AGT0000638,CMP0000119,OUTBOUND,VND0000001,BUSY,88,Asia/Kolkata,true
CALL0000072,ACC0026297,2026-04-12 16:38:52,,CMP0000072,OUTBOUND,VND0000007,VOICEMAIL,596,UTC,true
CALL0000073,ACC0029802,2026-04-08 05:17:48,AGT0000783,CMP0000070,OUTBOUND,VND0000004,NO_ANSWER,452,Asia/Kolkata,true
CALL0000074,ACC0008452,2026-02-21 10:27:09,AGT0000738,CMP0000101,OUTBOUND,VND0000015,BUSY,640,Asia/Kolkata,true
CALL0000075,ACC0007294,2026-07-21 05:41:21,AGT0000861,CMP0000013,OUTBOUND,VND0000009,NO_ANSWER,81,UTC,true
CALL0000076,ACC0015141,2026-04-23 15:42:33,AGT0000466,CMP0000050,OUTBOUND,VND0000012,ANSWERED,200,UTC,true
CALL0000077,ACC0009635,2026-05-21 21:54:44,AGT0000264,CMP0000021,INBOUND,VND0000002,ANSWERED,563,UTC,true
CALL0000078,ACC0022457,2026-06-03 18:45:40,AGT0000559,CMP0000063,OUTBOUND,VND0000008,FAILED,701,Asia/Dubai,true
CALL0000079,ACC0028965,2026-02-05 15:07:45,AGT0000863,CMP0000114,OUTBOUND,VND0000003,FAILED,298,Asia/Dubai,true
CALL0000080,ACC0023938,2026-06-08 16:13:05,AGT0000482,CMP0000045,OUTBOUND,VND0000014,ANSWERED,582,Asia/Kolkata,true
CALL0000081,ACC0027868,2026-07-04 12:19:21,AGT0000874,CMP0000073,OUTBOUND,VND0000001,VOICEMAIL,269,Asia/Dubai,true
CALL0000082,ACC0014082,2026-04-12 15:01:57,AGT0000271,CMP0000061,OUTBOUND,VND0000012,FAILED,743,Asia/Dubai,true
CALL0000083,ACC0002244,2026-05-28 16:43:53,AGT0000336,CMP0000022,INBOUND,VND0000003,VOICEMAIL,271,UTC,true
CALL0000084,ACC0017709,2026-03-15 08:14:35,AGT0000148,CMP0000019,OUTBOUND,VND0000007,VOICEMAIL,264,Asia/Kolkata,true
CALL0000085,ACC0012331,2026-05-15 11:18:16,AGT0000105,CMP0000119,OUTBOUND,VND0000002,ANSWERED,759,Asia/Dubai,true
CALL0000086,ACC0007081,2026-02-17 04:13:05,AGT0000239,CMP0000012,OUTBOUND,VND0000011,BUSY,68,Asia/Dubai,true
CALL0000087,ACC0017903,2026-07-30 00:43:56,AGT0000145,CMP0000087,OUTBOUND,VND0000005,VOICEMAIL,602,UTC,true
CALL0000088,ACC0004304,2026-06-16 03:06:13,AGT0000248,CMP0000006,OUTBOUND,VND0000004,VOICEMAIL,752,Asia/Kolkata,true
CALL0000089,ACC0014855,2026-03-05 02:12:42,AGT0000388,CMP0000044,OUTBOUND,VND0000002,ANSWERED,663,Asia/Kolkata,true
CALL0000090,ACC0012222,2026-07-22 04:46:37,AGT0000342,CMP0000081,OUTBOUND,VND0000008,ANSWERED,314,Asia/Dubai,true
CALL0000091,ACC0029379,2026-05-04 10:26:13,AGT0000396,CMP0000114,OUTBOUND,VND0000003,NO_ANSWER,842,Asia/Dubai,true
CALL0000092,ACC0015505,2026-05-18 16:41:34,AGT0000997,CMP0000052,OUTBOUND,VND0000004,VOICEMAIL,579,UTC,true
CALL0000093,ACC0000670,2026-01-10 10:03:51,AGT0000188,CMP0000060,OUTBOUND,VND0000009,NO_ANSWER,66,Asia/Dubai,true
CALL0000094,ACC0026373,2026-01-13 04:27:05,AGT0000435,CMP0000003,OUTBOUND,VND0000006,VOICEMAIL,138,Asia/Dubai,true
CALL0000095,ACC0011771,2026-05-01 07:21:43,AGT0000508,CMP0000090,OUTBOUND,VND0000007,NO_ANSWER,425,UTC,true
CALL0000096,ACC0004521,2026-03-18 09:49:36,AGT0000366,CMP0000064,INBOUND,VND0000001,FAILED,68,UTC,true
CALL0000097,ACC0022138,2026-01-26 15:40:38,AGT0000194,CMP0000114,OUTBOUND,VND0000011,VOICEMAIL,705,Asia/Dubai,true
CALL0000098,ACC0008965,2026-05-21 02:31:30,AGT0000749,CMP0000036,INBOUND,VND0000011,NO_ANSWER,490,Asia/Dubai,true
CALL0000099,ACC0019918,2026-07-23 01:40:59,AGT0000190,CMP0000049,OUTBOUND,VND0000014,ANSWERED,154,UTC,true
CALL0000100,ACC0029302,2026-03-16 15:48:37,AGT0000543,CMP0000018,OUTBOUND,VND0000010,NO_ANSWER,348,Asia/Dubai,true
CALL0000101,ACC0028601,2026-02-26 14:09:01,AGT0000197,CMP0000022,OUTBOUND,VND0000002,VOICEMAIL,272,Asia/Kolkata,true
CALL0000102,ACC0011796,2026-07-13 14:46:02,AGT0000302,CMP0000011,INBOUND,VND0000014,BUSY,31,Asia/Kolkata,true
CALL0000103,ACC0025645,2026-01-24 22:24:27,AGT0000645,CMP0000096,OUTBOUND,VND0000008,FAILED,93,Asia/Dubai,true
CALL0000104,ACC0021095,2026-07-10 11:04:22,AGT0001000,CMP0000086,OUTBOUND,VND0000015,FAILED,693,UTC,true
CALL0000105,ACC0024104,2026-01-28 22:45:15,AGT0000414,CMP0000113,OUTBOUND,VND0000006,VOICEMAIL,269,Asia/Kolkata,true
CALL0000106,ACC0016187,2026-01-08 12:48:00,AGT0000575,CMP0000011,INBOUND,VND0000003,NO_ANSWER,897,UTC,true
CALL0000107,ACC0020593,2026-07-15 18:50:58,AGT0000498,CMP0000110,OUTBOUND,VND0000011,BUSY,770,Asia/Dubai,true
CALL0000108,ACC0002462,2026-01-20 07:50:44,AGT0000742,CMP0000006,OUTBOUND,VND0000004,NO_ANSWER,633,Asia/Dubai,true
CALL0000109,ACC0027232,2026-01-15 23:31:44,AGT0000902,CMP0000073,OUTBOUND,VND0000006,NO_ANSWER,871,Asia/Dubai,true
CALL0000110,ACC0027992,2026-03-31 14:51:23,AGT0000089,CMP0000105,OUTBOUND,VND0000005,FAILED,661,Asia/Kolkata,true
CALL0000111,ACC0024194,2026-08-05 19:54:22,AGT0000383,CMP0000115,OUTBOUND,VND0000015,VOICEMAIL,650,Asia/Kolkata,true
CALL0000112,ACC0007570,2026-03-12 22:35:34,AGT0000949,CMP0000035,OUTBOUND,VND0000003,ANSWERED,896,Asia/Kolkata,true
CALL0000113,ACC0001188,2026-01-04 05:20:26,AGT0000436,CMP0000046,OUTBOUND,VND0000002,ANSWERED,81,Asia/Kolkata,true
CALL0000114,ACC0017430,2026-01-26 22:09:36,AGT0000698,CMP0000036,OUTBOUND,VND0000011,VOICEMAIL,148,UTC,true
CALL0000115,ACC0028701,2026-06-16 10:01:54,AGT0000017,CMP0000044,INBOUND,VND0000008,NO_ANSWER,548,Asia/Dubai,true
CALL0000116,ACC0022808,2026-01-05 15:15:46,AGT0000100,CMP0000052,OUTBOUND,VND0000009,ANSWERED,722,Asia/Dubai,true
CALL0000117,ACC0008631,2026-06-17 23:47:41,AGT0000445,CMP0000045,OUTBOUND,VND0000013,FAILED,381,Asia/Kolkata,true
CALL0000118,ACC0011681,2026-05-21 20:50:25,AGT0000244,CMP0000058,OUTBOUND,VND0000012,FAILED,698,Asia/Dubai,true
CALL0000119,ACC0016694,2026-01-14 19:16:34,AGT0000629,CMP0000046,OUTBOUND,VND0000014,VOICEMAIL,389,UTC,true
CALL0000120,ACC0006299,2026-02-16 17:08:55,AGT0000851,CMP0000067,INBOUND,VND0000015,FAILED,238,UTC,true
CALL0000121,ACC0017703,2026-07-19 17:20:22,AGT0000569,CMP0000117,OUTBOUND,VND0000011,VOICEMAIL,610,Asia/Dubai,true
CALL0000122,ACC0029475,2026-02-13 17:08:05,AGT0000182,CMP0000112,OUTBOUND,VND0000005,BUSY,10,UTC,true
CALL0000123,ACC0028160,2026-06-30 17:35:19,AGT0000831,CMP0000008,OUTBOUND,VND0000008,NO_ANSWER,712,Asia/Dubai,true
CALL0000124,ACC0024171,2026-03-19 05:39:18,AGT0000415,CMP0000069,OUTBOUND,VND0000012,FAILED,366,Asia/Kolkata,true
CALL0000125,ACC0018631,2026-05-21 00:31:38,AGT0000770,CMP0000038,INBOUND,VND0000005,FAILED,347,UTC,true
CALL0000126,ACC0026445,2026-02-20 01:46:43,AGT0000770,CMP0000084,OUTBOUND,VND0000005,FAILED,802,Asia/Kolkata,true
CALL0000127,ACC0007803,2026-03-09 02:45:31,,CMP0000017,OUTBOUND,VND0000004,NO_ANSWER,748,UTC,true
CALL0000128,ACC0012997,2026-02-22 10:02:26,AGT0000364,CMP0000007,OUTBOUND,VND0000002,NO_ANSWER,853,Asia/Dubai,true
CALL0000129,ACC0027589,2026-07-05 03:17:41,AGT0000921,CMP0000102,OUTBOUND,VND0000008,BUSY,17,UTC,true
CALL0000130,ACC0026343,2026-02-03 04:16:40,AGT0000350,CMP0000120,OUTBOUND,VND0000004,FAILED,381,Asia/Dubai,true
CALL0000131,ACC0005847,2026-06-06 11:15:27,AGT0000026,CMP0000070,OUTBOUND,VND0000013,VOICEMAIL,462,UTC,true
CALL0000132,ACC0026296,2026-03-21 17:22:41,AGT0000453,CMP0000020,OUTBOUND,VND0000009,BUSY,657,Asia/Kolkata,true
CALL0000133,ACC0013058,2026-02-21 06:01:43,AGT0000810,CMP0000119,OUTBOUND,VND0000006,BUSY,90,Asia/Dubai,true
CALL0000134,ACC0025538,2026-04-20 19:42:33,AGT0000294,CMP0000104,OUTBOUND,VND0000004,NO_ANSWER,874,Asia/Kolkata,true
CALL0000135,ACC0020992,2026-05-12 13:23:37,AGT0000318,CMP0000102,OUTBOUND,VND0000012,VOICEMAIL,486,Asia/Kolkata,true
CALL0000136,ACC0018991,2026-01-16 16:07:36,AGT0000476,CMP0000071,OUTBOUND,VND0000009,BUSY,875,UTC,true
CALL0000137,ACC0003150,2026-01-21 17:57:28,AGT0000799,CMP0000105,OUTBOUND,VND0000004,BUSY,519,Asia/Kolkata,true
CALL0000138,ACC0026850,2026-05-03 18:05:16,AGT0000669,CMP0000015,OUTBOUND,VND0000008,FAILED,376,Asia/Dubai,true
CALL0000139,ACC0013737,2026-04-16 01:56:57,AGT0000024,CMP0000104,OUTBOUND,VND0000005,VOICEMAIL,843,UTC,true
CALL0000140,ACC0008294,2026-01-24 14:35:13,AGT0000064,CMP0000107,OUTBOUND,VND0000009,VOICEMAIL,332,Asia/Kolkata,true
CALL0000141,ACC0003280,2026-03-28 15:37:12,AGT0000195,CMP0000042,OUTBOUND,VND0000003,NO_ANSWER,483,UTC,true
CALL0000142,ACC0004747,2026-07-13 01:27:36,AGT0000459,CMP0000060,OUTBOUND,VND0000002,VOICEMAIL,629,Asia/Kolkata,true
CALL0000143,ACC0001178,2026-07-23 09:46:34,AGT0000014,CMP0000029,OUTBOUND,VND0000002,FAILED,840,Asia/Dubai,true
CALL0000144,ACC0010338,2026-06-27 00:13:46,AGT0000268,CMP0000040,OUTBOUND,VND0000013,NO_ANSWER,248,Asia/Dubai,true
CALL0000145,ACC0007382,2026-04-22 09:09:56,AGT0000821,CMP0000066,OUTBOUND,VND0000002,BUSY,832,UTC,true
CALL0000146,ACC0015449,2026-05-23 06:22:32,AGT0000706,CMP0000015,INBOUND,VND0000014,BUSY,431,Asia/Dubai,true
CALL0000147,ACC0021060,2026-05-07 11:24:15,AGT0000721,CMP0000077,OUTBOUND,VND0000011,NO_ANSWER,856,UTC,true
CALL0000148,ACC0015442,2026-06-15 17:57:54,AGT0000228,CMP0000004,OUTBOUND,VND0000002,ANSWERED,397,Asia/Kolkata,true
CALL0000149,ACC0006366,2026-06-29 17:57:37,AGT0000939,CMP0000113,OUTBOUND,VND0000013,VOICEMAIL,99,Asia/Kolkata,true
CALL0000150,ACC0009182,2026-04-22 08:03:51,AGT0000789,CMP0000111,OUTBOUND,VND0000011,ANSWERED,656,UTC,true
CALL0000151,ACC0012735,2026-05-29 11:13:51,AGT0000671,CMP0000083,OUTBOUND,VND0000004,FAILED,745,UTC,true
CALL0000152,ACC0018422,2026-05-30 13:44:04,AGT0000080,CMP0000025,OUTBOUND,VND0000015,ANSWERED,689,UTC,true
CALL0000153,ACC0028684,2026-03-12 18:21:07,AGT0000310,CMP0000076,INBOUND,VND0000002,FAILED,189,Asia/Dubai,true
CALL0000154,ACC0021756,2026-02-25 19:08:19,AGT0000082,CMP0000050,INBOUND,VND0000008,FAILED,242,Asia/Kolkata,true
CALL0000155,ACC0013046,2026-07-25 22:43:28,AGT0000703,CMP0000027,OUTBOUND,VND0000015,VOICEMAIL,277,Asia/Dubai,true
CALL0000156,ACC0026039,2026-07-26 15:23:39,AGT0000755,CMP0000104,OUTBOUND,VND0000013,NO_ANSWER,544,UTC,true
CALL0000157,ACC0006861,2026-02-07 21:32:43,AGT0000354,CMP0000014,OUTBOUND,VND0000004,NO_ANSWER,620,Asia/Dubai,true
CALL0000158,ACC0006278,2026-04-29 20:48:06,AGT0000213,CMP0000058,OUTBOUND,VND0000011,FAILED,886,Asia/Dubai,true
CALL0000159,ACC0022834,2026-02-12 18:42:17,AGT0000735,CMP0000080,OUTBOUND,VND0000003,VOICEMAIL,176,Asia/Dubai,true
CALL0000160,ACC0011278,2026-03-29 23:37:15,AGT0000799,CMP0000009,OUTBOUND,VND0000014,ANSWERED,263,Asia/Kolkata,true
CALL0000161,ACC0010179,2026-06-24 11:34:39,AGT0000876,CMP0000093,OUTBOUND,VND0000014,FAILED,238,Asia/Kolkata,true
CALL0000162,ACC0021622,2026-07-07 06:34:54,AGT0000862,CMP0000120,OUTBOUND,VND0000004,ANSWERED,682,UTC,true
CALL0000163,ACC0029861,2026-03-23 18:07:34,AGT0000729,CMP0000020,OUTBOUND,VND0000012,NO_ANSWER,376,Asia/Kolkata,true
CALL0000164,ACC0024427,2026-07-30 16:37:33,AGT0000936,CMP0000082,OUTBOUND,VND0000011,NO_ANSWER,791,Asia/Kolkata,true
CALL0000165,ACC0009144,2026-04-10 09:29:09,AGT0000945,CMP0000032,OUTBOUND,VND0000009,ANSWERED,523,Asia/Dubai,true
CALL0000166,ACC0029866,2026-06-25 19:35:45,AGT0000735,CMP0000011,OUTBOUND,VND0000007,ANSWERED,653,UTC,true
CALL0000167,ACC0019787,2026-06-07 19:11:38,AGT0000237,CMP0000107,OUTBOUND,VND0000003,NO_ANSWER,287,UTC,true
CALL0000168,ACC0018319,2026-03-15 17:41:13,AGT0000796,CMP0000084,OUTBOUND,VND0000006,ANSWERED,678,UTC,true
CALL0000169,ACC0022608,2026-07-26 08:29:53,AGT0000372,CMP0000082,OUTBOUND,VND0000012,VOICEMAIL,124,Asia/Dubai,true
CALL0000170,ACC0012611,2026-01-19 13:34:43,AGT0000385,CMP0000078,OUTBOUND,VND0000001,BUSY,814,UTC,true
CALL0000171,ACC0005440,2026-02-27 00:25:36,AGT0000643,CMP0000086,OUTBOUND,VND0000006,VOICEMAIL,607,UTC,true
CALL0000172,ACC0004865,2026-01-17 14:43:02,AGT0000272,CMP0000109,OUTBOUND,VND0000009,ANSWERED,440,Asia/Dubai,true
CALL0000173,ACC0018376,2026-07-09 09:54:00,AGT0000488,CMP0000100,OUTBOUND,VND0000013,FAILED,97,Asia/Kolkata,true
CALL0000174,ACC0013328,2026-06-07 21:25:21,AGT0000165,CMP0000041,OUTBOUND,VND0000005,ANSWERED,244,Asia/Dubai,true
CALL0000175,ACC0011120,2026-06-09 13:29:35,AGT0000554,CMP0000078,INBOUND,VND0000011,FAILED,462,UTC,true
CALL0000176,ACC0005536,2026-02-13 05:30:07,AGT0000540,CMP0000072,OUTBOUND,VND0000006,VOICEMAIL,231,UTC,true
CALL0000177,ACC0002132,2026-05-27 10:48:07,AGT0000030,CMP0000012,OUTBOUND,VND0000008,FAILED,885,Asia/Dubai,true
CALL0000178,ACC0019968,2026-08-04 03:39:40,AGT0000380,CMP0000002,OUTBOUND,VND0000003,NO_ANSWER,16,UTC,true
CALL0000179,ACC0025860,2026-06-28 23:48:30,AGT0000117,CMP0000079,OUTBOUND,VND0000014,ANSWERED,138,UTC,true
CALL0000180,ACC0003866,2026-06-20 13:24:27,AGT0000425,CMP0000055,OUTBOUND,VND0000001,VOICEMAIL,310,UTC,true
CALL0000181,ACC0027971,2026-05-27 04:35:43,,CMP0000003,OUTBOUND,VND0000002,VOICEMAIL,35,Asia/Kolkata,true
CALL0000182,ACC0005685,2026-06-11 23:42:31,AGT0000280,CMP0000081,OUTBOUND,VND0000011,BUSY,436,Asia/Kolkata,true
CALL0000183,ACC0009409,2026-05-16 07:43:54,AGT0000757,CMP0000073,INBOUND,VND0000004,NO_ANSWER,450,UTC,true
CALL0000184,ACC0007139,2026-06-07 09:29:50,AGT0000299,CMP0000065,OUTBOUND,VND0000002,ANSWERED,59,Asia/Kolkata,true
CALL0000185,ACC0026551,2026-08-05 21:05:18,AGT0000347,CMP0000049,OUTBOUND,VND0000003,BUSY,330,Asia/Dubai,true
CALL0000186,ACC0012773,2026-06-02 07:10:39,AGT0000127,CMP0000015,OUTBOUND,VND0000014,FAILED,257,Asia/Dubai,true
CALL0000187,ACC0016422,2026-01-23 22:48:57,AGT0000337,CMP0000086,OUTBOUND,VND0000008,NO_ANSWER,38,Asia/Kolkata,true
CALL0000188,ACC0028308,2026-02-28 23:00:15,AGT0000411,CMP0000064,OUTBOUND,VND0000015,NO_ANSWER,84,Asia/Kolkata,true
